run_id,ts,path,sf,dim_scenario,tier,query_id,run_type,iter,latency_ms,status,rows,result_hash,hash_match,pushdown,pg_main_cpu_s,pg_main_pgduck_cpu_s,pg_main_peak_mem_mb,engine_cpu_s,engine_peak_mem_mb,s3_bytes_read,s3_requests,resource_mode,versions_json,error
98a89fdd,2026-09-25T10:48:59,A,10,D1,L1,q01,warmup,0,1335.8,ok,4,4666818bed4e74d6b6aac274a0444bc6,ref,,3.136,2.93,278,3.136,278,156619038,424,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:00,A,10,D1,L1,q01,warm,1,944.9,ok,4,4666818bed4e74d6b6aac274a0444bc6,ref,,2.859,2.65,268,2.859,268,156619038,424,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:01,A,10,D1,L1,q01,warm,2,917.7,ok,4,4666818bed4e74d6b6aac274a0444bc6,ref,,2.774,2.56,260,2.774,260,156619038,424,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:02,A,10,D1,L1,q01,warm,3,921.2,ok,4,4666818bed4e74d6b6aac274a0444bc6,ref,,2.763,2.55,273,2.763,273,156619038,424,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:03,A,10,D1,L1,q01,warm,4,920.8,ok,4,4666818bed4e74d6b6aac274a0444bc6,ref,,2.806,2.61,274,2.806,274,156619038,424,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:04,A,10,D1,L1,q01,warm,5,926.5,ok,4,4666818bed4e74d6b6aac274a0444bc6,ref,,2.858,2.65,271,2.858,271,156619038,424,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:05,A,10,D1,L1,q01,explain,,,ok,,,,full,,,,,,,,per-node,,
98a89fdd,2026-09-25T10:49:05,A,10,D1,L1,q06,warmup,0,234.7,ok,1,6c1f4735578e5fad829c380f90ee6e07,ref,,0.337,0.15,264,0.337,264,10794727,60,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:05,A,10,D1,L1,q06,warm,1,232.7,ok,1,6c1f4735578e5fad829c380f90ee6e07,ref,,0.337,0.14,268,0.337,268,10794727,60,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:06,A,10,D1,L1,q06,warm,2,264.3,ok,1,6c1f4735578e5fad829c380f90ee6e07,ref,,0.399,0.2,266,0.399,266,10794727,60,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:06,A,10,D1,L1,q06,warm,3,232.9,ok,1,6c1f4735578e5fad829c380f90ee6e07,ref,,0.337,0.13,264,0.337,264,10794727,60,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:06,A,10,D1,L1,q06,warm,4,231.9,ok,1,6c1f4735578e5fad829c380f90ee6e07,ref,,0.333,0.14,267,0.333,267,10794727,60,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:07,A,10,D1,L1,q06,warm,5,234.8,ok,1,6c1f4735578e5fad829c380f90ee6e07,ref,,0.334,0.15,266,0.334,266,10794727,60,per-node,"{""postgres"":""18.6"",""pg_lake"":""3.5"",""pg_clickhouse"":""0.10"",""pg_lake_duckdb"":""v1.5.5""}",
98a89fdd,2026-09-25T10:49:07,A,10,D1,L1,q06,explain,,,ok,,,,full,,,,,,,,per-node,,
