stage,table,content,files,records,avg_file_mb,total_mb
after_tiering,tpch.customer,data,1,1500000,117.70,117.7
after_tiering,tpch.lineitem_cold,data,73,53908869,25.55,1865.3
after_tiering,tpch.nation,data,1,25,0.00,0.0
after_tiering,tpch.orders_cold,data,73,13859802,7.09,517.6
after_tiering,tpch.part,data,1,2000000,61.01,61.0
after_tiering,tpch.partsupp,data,1,8000000,419.43,419.4
after_tiering,tpch.region,data,1,5,0.00,0.0
after_tiering,tpch.supplier,data,1,100000,7.52,7.5
after_vacuum,tpch.customer,data,1,1500000,117.70,117.7
after_vacuum,tpch.lineitem_cold,data,73,53908869,25.55,1865.3
after_vacuum,tpch.nation,data,1,25,0.00,0.0
after_vacuum,tpch.orders_cold,data,73,13859802,7.09,517.6
after_vacuum,tpch.part,data,1,2000000,61.01,61.0
after_vacuum,tpch.partsupp,data,1,8000000,419.43,419.4
after_vacuum,tpch.region,data,1,5,0.00,0.0
after_vacuum,tpch.supplier,data,1,100000,7.52,7.5
vacuum_seconds,0.2,,,,,
